height,nonce
1661808,111891
1661809,41069
1661810,2449606322
1661811,923495
1661812,494652
1661813,2311900446
1661814,45817
1661815,17316
1661816,122616
1661817,2898265680
1661818,235794
1661819,37148
1661820,39548
1661821,1063695
1661822,2315400069
1661823,105875
1661824,3506447849
1661825,2771294
1661826,2147598681
1661827,505909
1661828,50669072
1661829,2076936
1661830,12939
1661831,891499
1661832,2953039674
1661833,715832682
1661834,809502055
1661835,94033
1661836,2684358889
1661837,405129
1661838,153834
1661839,4010167715
1661840,9669
1661841,18784
1661842,234882905
1661843,184778
1661844,4150
1661845,2147491655
1661846,3596625723
1661847,77976
1661848,270574
1661849,36241
1661850,3186428
1661851,1073753330
1661852,1342185498
1661853,2505397666
1661854,1037078
1661855,29
1661856,2169901
1661857,4127240425
1661858,12631973
1661859,469970037
1661860,639109952
1661861,30547
1661862,4094426624
1661863,503318811
1661864,525251
1661865,2001738303
1661866,1089647
1661867,13522191
1661868,3373022133
1661869,3157858311
1661870,1208009703
1661871,2472961930
1661872,1868662258
1661873,10590187
1661874,696
1661875,1208380
1661876,393
1661877,1962935813
1661878,12301
1661879,2186606
1661880,2524972007
1661881,1379468067
1661882,70182
1661883,23497
1661884,357927902
1661885,33658
1661886,223535
1661887,906463
1661888,22739
1661889,21053
1661890,3506575722
1661891,180046
1661892,3579161498
1661893,903374
1661894,2452835668
1661895,16778232
1661896,2013286864
1661897,67109457
1661898,12583055
1661899,10752
1661900,88860
1661901,3489662666
1661902,2067794038
1661903,388344
1661904,10488423
1661905,214580024
1661906,74554
1661907,5683454
1661908,565936
1661909,939917149
1661910,1846284501
1661911,66706
1661912,536871343
1661913,279867
1661914,114774
1661915,4290246
1661916,24689
1661917,1073755337
1661918,150850
1661919,30239
1661920,250851
1661921,9283
1661922,453107148
1661923,10559600
1661924,10526603
1661925,2147487408
1661926,5375
1661927,1295
1661928,292571
1661929,256553129
1661930,243990
1661931,6608
1661932,1006748983
1661933,1006658807
1661934,11211
1661935,2753935380
1661936,39760
1661937,38073
1661938,222216
1661939,70242
1661940,991538011
1661941,575365
1661942,46137364
1661943,10008
1661944,167539
1661945,3340258497
1661946,15926
1661947,276181928
1661948,4197920047
1661949,20775
1661950,21551
1661951,4146203509
1661952,12611031
1661953,3321913458
1661954,268461403
1661955,2863328959
1661956,4275860167
1661957,1431656310
1661958,397865
1661959,3676
1661960,2556368583
1661961,1333789720
1661962,1452317
1661963,7706
1661964,1116330485
1661965,66414
1661966,1734766315
1661967,4195290
1661968,1035385
1661969,1707922327
1661970,217113
1661971,1951194863
1661972,3221229011
1661973,1818936
1661974,6314110
1661975,1585448585
1661976,20644
1661977,890197
1661978,294864
1661979,482497
1661980,1477207143
1661981,2863314330
1661982,4657
1661983,3290855779
1661984,2151243510
1661985,8462851
1661986,3240103225
1661987,3482176568
1661988,2362233192
1661989,1717987361
1661990,3221240419
1661991,17327
1661992,12874
1661993,46751
1661994,501797287
1661995,2291502103
1661996,1629487123
1661997,311802
1661998,2236
1661999,939194
1662000,946300
1662001,12223
1662002,3221227718
1662003,1057005165
1662004,3724561768
1662005,788548
1662006,28423
1662007,184549899
1662008,1996489745
1662009,1534133565
1662010,8462085
1662011,235562
1662012,614204
1662013,892339641
1662014,248446
1662015,21888848
1662016,2739
1662017,1157633230
1662018,2551135398
1662019,378914
1662020,16064667
1662021,3067859004
1662022,2801796627
1662023,3579148651
1662024,102852
1662025,1717987546
1662026,1837123003
1662027,2820933964
1662028,1075336060
1662029,2318
1662030,150749
1662031,2891196453
1662032,8890
1662033,2718504826
1662034,4161745310
1662035,38475
1662036,3221238284
1662037,2147490633
1662038,2863311670
1662039,10593
1662040,820127
1662041,12288759
1662042,582109
1662043,1610673209
1662044,61655
1662045,3221225537
1662046,3221225732
1662047,1431656263
1662048,4211192752
1662049,458864
1662050,191
1662051,1048837
1662052,536738
1662053,205034
1662054,2673171779
1662055,3681401080
1662056,4030726185
1662057,581399
1662058,356247
1662059,18979
1662060,5669
1662061,267733
1662062,8464660
1662063,1431657670
1662064,1526048
1662065,409671
1662066,16091
1662067,53649
1662068,396049
1662069,4958
1662070,2200401
