"name","archive_version","nrt","height","nonce","deltart"
"frankfurt",8,"1539589096304","1683293","3494694339","238"
"nyc",8,"1539589097688","1683293","3494694339","239"
"london",7,"1539589283635","1683293","3494694339","425"
"frankfurt",8,"1539589282897","1683294","3937053964","6"
"nyc",8,"1539589283116","1683294","3937053964","7"
"london",7,"1539589283338","1683294","3937053964","7"
"london",7,"1539589283592","1683294","3937053964","7"
"london",7,"1539589283677","1683294","3937053964","7"
"frankfurt",8,"1539601455429","1683380","4110606448","110"
"frankfurt",8,"1539656690722","1683846","2359520","91"
"london",7,"1539656690903","1683846","2359520","91"
"nyc",8,"1539656692160","1683846","1884641908","32"
"frankfurt",8,"1539657128077","1683847","2307020622","438"
"london",7,"1539657128543","1683847","2307020622","438"
"frankfurt",8,"1539665973294","1683913","10344","180"
"nyc",8,"1539666040028","1683913","10344","247"
"london",7,"1539666040205","1683913","10344","247"
"frankfurt",8,"1539666039131","1683914","3172086288","66"
"nyc",8,"1539666039283","1683914","3172086288","66"
"nyc",8,"1539666039400","1683914","3172086288","66"
"london",7,"1539666039627","1683914","3172086288","66"
"london",7,"1539666039755","1683914","3172086288","66"
"london",7,"1539666040015","1683914","3172086288","67"
"london",7,"1539666040247","1683914","3172086288","67"
"nyc",8,"1539666040644","1683914","3172086288","67"
"frankfurt",8,"1539696571315","1684172","369214061","35"
"london",7,"1539696571746","1684172","1431678896","35"
"nyc",8,"1539696573026","1684172","1431678896","37"
"london",7,"1539696572550","1684173","636","2"
"nyc",8,"1539696573127","1684173","636","3"
"frankfurt",8,"1539700708783","1684200","2077","14"
"nyc",8,"1539715252996","1684311","60945","484"
"frankfurt",8,"1539733288602","1684470","3892355621","13"
"london",7,"1539733289199","1684470","104717","14"
"frankfurt",8,"1539733455778","1684471","1040347","47"
"frankfurt",8,"1539734684465","1684484","2852127556","23"
"london",7,"1539734684824","1684484","2852127556","23"
"nyc",8,"1539734688527","1684484","2852127556","27"
"nyc",8,"1539755365222","1684645","131500","13"
"london",7,"1539755365532","1684645","131500","13"
"frankfurt",8,"1539755366051","1684645","131500","14"
"frankfurt",8,"1539785955081","1684909","31151","103"
"nyc",8,"1539785955689","1684909","3681473421","104"
